CustomerID,Recency,Frequency,MonetaryValue,Cluster
12346.0,326,2,0.0,low
12347.0,3,151,3598.21,high
12348.0,76,31,1797.24,low
12349.0,19,73,1757.55,medium
12350.0,311,17,334.4,low
12352.0,37,95,1545.41,medium
12353.0,205,4,89.0,low
12354.0,233,58,1079.4,low
12355.0,215,13,459.4,low
12356.0,23,59,2811.43,medium
12357.0,34,131,6207.67,high
12358.0,2,19,1168.06,medium
12359.0,8,254,6245.53,high
12360.0,53,129,2662.06,medium
12361.0,288,10,189.9,low
12362.0,4,274,5154.58,high
12363.0,110,23,552.0,low
12364.0,8,85,1313.1,medium
12365.0,292,23,320.69,low
12367.0,5,11,168.9,medium
12370.0,52,167,3545.69,medium
12371.0,45,63,1887.96,medium
12372.0,72,52,1298.04,medium
12373.0,312,14,364.6,low
12374.0,26,33,742.93,medium
12375.0,3,18,455.42,medium
12377.0,316,77,1628.12,low
12378.0,130,219,4008.62,medium
12379.0,82,41,850.29,low
12380.0,22,105,2720.56,medium
12381.0,5,91,1803.96,medium
12383.0,185,100,1839.31,low
12384.0,29,30,566.16,medium
12386.0,338,2,143.0,low
12388.0,16,100,2780.66,medium
12390.0,80,32,549.84,low
12391.0,22,100,460.89,medium
12393.0,73,64,1582.6,medium
12394.0,64,27,1272.48,low
12395.0,16,147,2652.18,medium
12397.0,36,126,2409.9,medium
12398.0,46,85,1635.66,medium
12399.0,120,59,1108.65,low
12401.0,304,5,84.3,low
12402.0,324,11,225.6,low
12403.0,50,6,409.7,low
12405.0,149,54,1710.39,low
12406.0,23,108,3280.75,medium
12407.0,50,77,1708.12,medium
12408.0,33,113,2842.57,medium
12409.0,79,114,11056.93,high
12410.0,302,28,681.08,low
12412.0,75,61,1226.88,medium
12413.0,67,40,694.15,low
12414.0,218,18,562.41,low
12415.0,25,776,123725.45,high
12417.0,4,198,3578.8,high
12418.0,113,34,668.58,low
12420.0,64,29,600.39,low
12421.0,16,46,806.27,medium
12422.0,96,39,803.56,low
12423.0,1,126,1849.11,medium
12424.0,163,30,1760.96,low
12425.0,79,36,777.2,low
12426.0,195,30,582.73,low
12427.0,12,25,404.87,medium
12428.0,26,300,7877.2,high
12429.0,10,77,2468.9,medium
12430.0,44,11,256.4,low
12431.0,36,225,6058.14,high
12432.0,43,108,5059.32,medium
12433.0,1,273,9588.75,high
12434.0,85,54,765.19,low
12435.0,80,36,7829.89,high
12436.0,100,16,509.01,low
12437.0,2,200,4896.66,high
12438.0,15,98,2906.85,medium
12442.0,4,12,172.06,medium
12444.0,22,176,5005.46,high
12445.0,23,4,133.4,low
12446.0,58,57,1002.31,medium
12447.0,244,26,476.49,low
12448.0,45,22,449.45,low
12449.0,23,191,4067.29,medium
12450.0,157,8,197.88,low
12451.0,11,355,8933.52,high
