CustomerID,Recency,Frequency,MonetaryValue
12346.00,326,2,0.00
12347.00,3,151,3598.21
12348.00,76,31,1797.24
12349.00,19,73,1757.55
12350.00,311,17,334.40
12352.00,37,95,1545.41
12353.00,205,4,89.00
12354.00,233,58,1079.40
12355.00,215,13,459.40
12356.00,23,59,2811.43
12357.00,34,131,6207.67
12358.00,2,19,1168.06
12359.00,8,254,6245.53
12360.00,53,129,2662.06
12361.00,288,10,189.90
12362.00,4,274,5154.58
12363.00,110,23,552.00
12364.00,8,85,1313.10
12365.00,292,23,320.69
12367.00,5,11,168.90
12370.00,52,167,3545.69
12371.00,45,63,1887.96
12372.00,72,52,1298.04
12373.00,312,14,364.60
12374.00,26,33,742.93
12375.00,3,18,455.42
12377.00,316,77,1628.12
12378.00,130,219,4008.62
12379.00,82,41,850.29
12380.00,22,105,2720.56
12381.00,5,91,1803.96
12383.00,185,100,1839.31
12384.00,29,30,566.16
12386.00,338,2,143.00
12388.00,16,100,2780.66
12390.00,80,32,549.84
12391.00,22,100,460.89
12393.00,73,64,1582.60
12394.00,64,27,1272.48
12395.00,16,147,2652.18
12397.00,36,126,2409.90
12398.00,46,85,1635.66
12399.00,120,59,1108.65
12401.00,304,5,84.30
12402.00,324,11,225.60
12403.00,50,6,409.70
12405.00,149,54,1710.39
12406.00,23,108,3280.75
12407.00,50,77,1708.12
12408.00,33,113,2842.57
12409.00,79,114,11056.93
12410.00,302,28,681.08
12412.00,75,61,1226.88
12413.00,67,40,694.15
12414.00,218,18,562.41
12415.00,25,776,123725.45
12417.00,4,198,3578.80
12418.00,113,34,668.58
12420.00,64,29,600.39
12421.00,16,46,806.27
12422.00,96,39,803.56
12423.00,1,126,1849.11
12424.00,163,30,1760.96
12425.00,79,36,777.20
12426.00,195,30,582.73
12427.00,12,25,404.87
12428.00,26,300,7877.20
12429.00,10,77,2468.90
12430.00,44,11,256.40
12431.00,36,225,6058.14
12432.00,43,108,5059.32
12433.00,1,273,9588.75
12434.00,85,54,765.19
12435.00,80,36,7829.89
12436.00,100,16,509.01
12437.00,2,200,4896.66
12438.00,15,98,2906.85
12442.00,4,12,172.06
12444.00,22,176,5005.46
12445.00,23,4,133.40
12446.00,58,57,1002.31
12447.00,244,26,476.49
12448.00,45,22,449.45
12449.00,23,191,4067.29
12450.00,157,8,197.88
12451.00,11,355,8933.52
12452.00,17,23,428.57
12453.00,135,43,707.09
12454.00,54,30,0.00
12455.00,74,90,2466.86
12456.00,45,129,3153.89
12457.00,59,67,1917.78
12458.00,72,38,947.40
12461.00,95,35,826.88
12462.00,3,72,1124.01
12463.00,47,88,1303.63
12464.00,11,29,1212.05
12465.00,8,51,733.89
12468.00,144,40,724.04
12471.00,3,530,18757.92
12472.00,31,307,4720.48
12473.00,30,179,2848.23
12474.00,18,456,7150.47
12475.00,54,36,723.38
12476.00,2,264,6546.58
12477.00,23,308,13117.01
12478.00,4,36,680.99
12479.00,4,35,477.30
12480.00,29,154,3281.63
12481.00,23,208,5431.48
12483.00,18,81,2327.13
12484.00,33,350,4495.27
12488.00,10,55,1298.66
12489.00,337,15,334.93
12490.00,6,245,5417.93
12491.00,39,26,460.40
12492.00,64,20,263.21
12493.00,166,23,416.79
12494.00,10,81,1081.75
12497.00,82,14,1043.10
12498.00,22,23,403.70
12500.00,24,65,4206.27
12501.00,316,160,2089.68
12502.00,96,147,3723.87
12503.00,338,1,-1126.00
12504.00,19,15,114.00
12505.00,302,1,-4.50
12506.00,233,23,73.50
12507.00,135,22,1258.06
12508.00,27,69,398.27
12509.00,285,7,176.50
12510.00,143,33,982.57
12512.00,67,34,138.03
12513.00,85,36,586.79
12514.00,268,51,1017.68
12515.00,354,16,383.70
12516.00,78,26,1312.06
12517.00,29,286,2464.89
12518.00,1,124,2056.89
12519.00,64,18,340.84
12520.00,80,155,2582.51
12521.00,143,38,599.68
12522.00,40,12,192.72
12523.00,2,110,1745.57
12524.00,10,144,4485.72
12526.00,1,71,1316.66
12527.00,82,18,348.71
12528.00,10,95,1922.28
12530.00,60,68,1623.63
12531.00,15,17,125.22
12532.00,31,16,349.83
12534.00,131,63,1089.18
12535.00,92,34,716.35
12536.00,8,273,4106.82
12538.00,30,21,363.95
12539.00,23,274,3852.50
12540.00,20,481,13309.04
12541.00,30,52,981.18
12544.00,30,20,355.70
12545.00,76,50,1000.39
12546.00,47,70,1141.50
12547.00,198,8,207.80
12548.00,167,5,95.20
12550.00,80,57,964.83
12551.00,358,10,168.00
12552.00,39,20,437.82
12553.00,9,196,3652.25
12556.00,51,121,603.71
12557.00,17,28,11370.96
12558.00,2,22,0.00
12559.00,311,22,536.21
12560.00,6,111,2101.39
12561.00,303,16,238.85
12562.00,9,168,3781.74
12564.00,262,21,456.90
12565.00,282,10,131.17
12566.00,73,20,346.70
12567.00,23,380,7172.56
12569.00,3,191,4064.99
12571.00,40,34,519.61
12572.00,9,62,1004.72
12573.00,228,28,160.54
12574.00,316,11,218.45
12576.00,36,89,1306.98
12577.00,36,148,595.40
12578.00,22,120,2753.36
12579.00,74,31,410.72
12580.00,247,24,415.70
12581.00,40,15,197.71
12582.00,239,22,511.36
12583.00,3,231,6331.48
12584.00,4,126,1893.95
12585.00,235,97,1982.81
12586.00,18,11,196.94
12587.00,8,4,144.00
12588.00,40,10,214.90
12589.00,29,35,646.68
12590.00,191,70,9861.38
12591.00,318,26,452.85
12592.00,93,18,437.60
12593.00,109,21,418.10
12594.00,38,119,3320.22
12596.00,52,27,618.27
12597.00,20,214,3683.13
12598.00,10,133,3002.68
12599.00,30,62,1032.58
12600.00,29,63,2504.54
12601.00,190,29,569.56
12602.00,59,12,153.12
12603.00,22,2,739.20
12604.00,80,16,254.18
12607.00,59,202,0.00
12609.00,79,60,1126.85
12610.00,23,111,2057.99
12611.00,53,65,1193.32
12612.00,58,21,643.59
12613.00,32,163,3218.98
12614.00,278,20,315.60
12615.00,3,105,2291.19
12616.00,86,36,657.25
12617.00,30,42,355.53
12618.00,22,11,177.31
12619.00,17,95,3214.81
12620.00,15,92,1339.41
12621.00,2,460,13147.46
12622.00,233,11,180.10
12623.00,277,18,305.10
12624.00,107,38,641.13
12625.00,212,91,2614.32
12626.00,24,307,6388.35
12627.00,11,230,4478.53
12628.00,5,43,769.61
12630.00,10,64,1270.88
12631.00,58,31,640.50
12633.00,59,103,2140.63
12635.00,90,101,1689.18
12637.00,68,394,5953.25
12638.00,34,39,671.69
12639.00,239,22,486.10
12640.00,24,53,1174.58
12641.00,116,10,185.90
12642.00,26,47,1013.26
12643.00,129,24,3344.64
12644.00,130,31,477.91
12645.00,34,74,1755.38
12646.00,5,45,1346.97
12647.00,23,92,2701.12
12648.00,155,21,318.05
12649.00,108,31,623.51
12650.00,4,20,314.44
12651.00,335,9,114.00
12652.00,323,51,914.53
12653.00,149,43,2209.85
12654.00,11,38,601.98
12656.00,18,130,3982.72
12657.00,12,56,1152.06
12658.00,19,36,686.05
12659.00,30,5,91.68
12660.00,12,13,245.10
12662.00,1,217,3555.60
12664.00,9,38,4863.88
12665.00,325,4,61.75
12666.00,360,2,-227.44
12667.00,59,33,620.13
12668.00,8,168,3743.18
12669.00,151,102,1607.73
12670.00,11,94,2986.15
12672.00,330,10,225.90
12673.00,6,42,610.52
12674.00,12,91,1919.31
12676.00,25,45,1331.39
12678.00,43,167,17588.26
12679.00,53,56,1058.67
12680.00,1,52,862.81
12681.00,15,605,12644.07
12682.00,4,476,11212.93
12683.00,5,308,7158.01
12684.00,8,105,2283.63
12685.00,29,157,2863.08
12688.00,114,171,4873.81
12689.00,26,72,1247.61
12690.00,206,16,389.01
12691.00,29,32,1035.80
12693.00,121,41,830.96
12694.00,71,37,869.67
12695.00,8,27,582.10
12697.00,22,43,939.02
12700.00,8,270,4867.99
12701.00,80,53,797.71
12702.00,20,12,219.00
12703.00,65,22,274.70
12704.00,8,90,2220.84
12705.00,16,348,6814.24
12707.00,292,33,603.42
12708.00,30,160,2419.88
12709.00,4,250,8771.40
12710.00,97,79,1130.57
12712.00,23,121,3783.75
12713.00,1,38,848.55
12714.00,10,259,4708.86
12715.00,107,21,353.86
12716.00,4,69,1053.49
12717.00,152,56,980.98
12718.00,72,19,238.25
12719.00,6,42,608.10
12720.00,3,329,5239.89
12721.00,32,161,2656.13
12722.00,86,57,904.33
12723.00,4,69,725.07
12724.00,6,53,1031.41
12726.00,29,124,2609.10
12727.00,11,141,3947.70
12728.00,72,46,836.33
12729.00,114,26,453.01
12731.00,24,277,18793.41
12732.00,180,12,236.26
12733.00,235,22,383.95
12734.00,353,4,110.40
12735.00,316,43,779.57
12736.00,333,4,234.00
12739.00,79,38,1013.04
12740.00,64,27,427.60
12743.00,135,134,546.43
12744.00,52,229,9120.39
12747.00,3,96,3837.45
12748.00,1,4270,27078.70
12749.00,4,231,3868.20
12750.00,129,15,275.88
12752.00,82,53,4366.78
12753.00,4,230,21024.01
12754.00,236,65,2949.12
12755.00,250,5,-1591.20
12756.00,87,4,112.08
12757.00,16,377,4227.70
12758.00,117,97,2791.59
12759.00,53,95,1531.44
12762.00,8,69,1898.52
12763.00,139,2,174.00
12764.00,317,45,1693.88
12766.00,4,257,5840.34
12769.00,239,32,1143.60
12770.00,211,12,1351.45
12772.00,60,55,892.47
12775.00,18,67,1351.24
12778.00,20,51,804.23
12779.00,22,151,3620.54
12781.00,22,30,707.72
12782.00,5,107,2273.32
12783.00,3,86,1603.87
12784.00,10,59,574.42
12785.00,3,15,305.71
12787.00,10,20,463.66
12789.00,66,4,91.85
12790.00,193,21,324.92
12792.00,257,25,400.54
12793.00,335,17,413.68
12794.00,54,45,860.41
12795.00,19,14,430.48
12797.00,361,4,-59.85
12798.00,11,8,6977.04
12802.00,184,26,412.58
12808.00,37,21,354.25
12809.00,169,26,484.36
12811.00,261,31,514.85
12812.00,45,15,229.64
12814.00,102,2,125.92
12815.00,148,47,1063.46
12816.00,96,29,572.20
12817.00,282,4,166.04
12818.00,179,16,1517.88
12820.00,4,59,942.34
12821.00,215,6,92.72
12822.00,71,47,918.98
12823.00,75,5,1759.50
12824.00,60,25,397.12
12826.00,3,85,1313.12
12827.00,6,25,430.15
12828.00,3,56,1018.71
12829.00,323,12,253.05
12830.00,38,39,6748.40
12831.00,263,9,215.05
12832.00,33,27,383.03
12833.00,146,24,417.38
12834.00,283,18,312.38
12836.00,60,175,2612.86
12837.00,174,12,134.10
12838.00,34,64,292.34
12839.00,3,294,5181.01
12840.00,144,116,2714.27
12841.00,5,392,3370.41
12842.00,71,34,1118.99
12843.00,66,108,1680.76
12844.00,30,52,325.96
12845.00,268,27,354.09
12847.00,23,91,871.54
12849.00,32,51,1050.89
12851.00,97,50,135.18
12852.00,291,20,299.75
12853.00,108,84,1881.70
12854.00,79,115,1289.15
12856.00,8,317,2162.68
12857.00,211,46,1106.40
12863.00,53,6,504.20
12864.00,139,3,147.12
12865.00,27,96,1548.07
12866.00,284,26,559.12
12867.00,27,551,3986.22
12868.00,186,95,1403.76
12871.00,85,11,380.64
12872.00,327,28,221.44
12873.00,283,4,374.00
12875.00,144,2,343.23
12876.00,58,85,2218.02
12877.00,4,154,1535.77
12878.00,19,49,841.64
12879.00,45,12,552.57
12881.00,276,7,298.00
12882.00,10,13,1463.04
12883.00,25,42,703.47
12884.00,89,7,309.05
12885.00,64,72,1158.27
12886.00,68,86,1351.09
12888.00,215,7,313.77
12890.00,25,82,380.47
12891.00,186,3,331.00
12893.00,31,34,188.14
12895.00,43,24,347.30
12897.00,205,4,216.50
12901.00,9,125,16293.10
12902.00,265,10,138.68
12904.00,19,72,509.58
12906.00,12,63,2919.81
12908.00,59,4,246.00
12909.00,40,96,2128.83
12910.00,24,75,3075.04
12912.00,3,24,1662.30
12913.00,5,46,2066.01
12915.00,149,9,164.00
12916.00,139,109,2982.35
12917.00,129,2,594.00
12919.00,9,52,1301.44
12920.00,18,28,164.23
12921.00,4,706,15701.94
12922.00,162,28,405.38
12923.00,65,29,176.97
12924.00,89,31,929.95
12925.00,5,45,694.05
12928.00,36,84,2062.70
12929.00,123,9,105.10
12930.00,79,27,409.90
12931.00,22,102,33462.81
12933.00,25,107,606.28
12935.00,3,130,2156.45
12936.00,18,63,1012.90
12937.00,16,120,1504.27
12938.00,26,9,114.14
12939.00,65,47,11581.80
12940.00,47,103,876.29
12942.00,132,59,425.15
12943.00,302,1,-3.75
12944.00,36,30,604.51
12945.00,289,23,462.95
12947.00,144,86,1103.25
12948.00,17,118,2053.70
12949.00,31,219,4143.02
12950.00,3,23,1843.00
12951.00,9,65,1042.07
12952.00,6,80,1382.84
12953.00,10,17,329.85
12955.00,2,183,4734.26
12956.00,307,19,108.07
12957.00,5,244,3979.04
12962.00,8,16,266.39
12963.00,9,80,1475.23
12965.00,90,109,771.91
12966.00,10,10,160.18
12967.00,4,18,-173.65
12968.00,113,5,135.95
12970.00,8,151,452.24
12971.00,4,290,10662.07
